"Source","Name","Value","Commented","Line","Text"
"Kaizu","mat_slopescaledepthbias_shadowmap","0","False","951","""mat_slopescaledepthbias_shadowmap"" ""0""          // Disables shadow depth bias math"
"TestCfg","MaxPreloadTextureResolution","2","False","185","MaxPreloadTextureResolution ""2"""
"TestCfg","MeshletBufferCPUSlotCount","0","True","465","//MeshletBufferCPUSlotCount                       ""0"""
"Kaizu","minimap_update_rate_hz","30","False","856","""minimap_update_rate_hz"" ""30"""
"Sqooky","MinimumLateAllocatedVertexCacheBufferSizeMB","64","False","467","MinimumLateAllocatedVertexCacheBufferSizeMB     ""64""            // [def: ""64""]"
"TestCfg","MinimumLateAllocatedVertexCacheBufferSizeMB","64","False","489","MinimumLateAllocatedVertexCacheBufferSizeMB     ""64""            // [def: ""64""]"
"Sqooky","nocrosshair","0","False","39","nocrosshair                     ""0"""
"TestCfg","nocrosshair","0","False","39","nocrosshair                     ""0"""
"Sqooky","nohimodel","1","False","38","nohimodel                       ""1"""
"TestCfg","nohimodel","1","False","38","nohimodel                       ""1"""
"Sqooky","nomodels","1","False","37","nomodels                        ""1"""
"TestCfg","nomodels","1","False","37","nomodels                        ""1"""
"Sqooky","NonTexturedGradientFog","0","False","464","NonTexturedGradientFog                          ""0""             // [def: ""1""]"
"TestCfg","NonTexturedGradientFog","0","False","490","NonTexturedGradientFog                          ""0""             // [def: ""1""]"
"Sqooky","OptimizeForMeshlets","1","False","300","OptimizeForMeshlets                         ""1"""
"TestCfg","OptimizeForMeshlets","1","False","317","OptimizeForMeshlets                         ""1"""
"Boot","Panorama","-","True","1058","// Panorama - enable minidumps on JS exceptions"
"Kaizu","Panorama","-","True","1005","// Panorama - enable minidumps on JS exceptions"
"Sqooky","Panorama","-","True","921","// Panorama - enable minidumps on JS exceptions"
"TestCfg","Panorama","-","True","991","// Panorama - enable minidumps on JS exceptions"
"TestCfg","panorama_allow_texture_composition_layer_fast_path","true","True","956","//panorama_allow_texture_composition_layer_fast_path true"
"Kaizu","panorama_clear_frames_on_device_restore","0","False","986","""panorama_clear_frames_on_device_restore"" ""0"""
"Kaizu","panorama_disable_descendant_filtering","true","False","929","""panorama_disable_descendant_filtering"" ""true"""
"Kaizu","panorama_disable_draw_text_shadow","1","True","928","//""panorama_disable_draw_text_shadow"" ""1"""
"Kaizu","panorama_draw_text_fast_path","1","False","976","""panorama_draw_text_fast_path"" ""1""              // Forces text rendering through a hardware fast-path"
"Kaizu","panorama_draw_text_fast_path_text_shadow","1","False","977","""panorama_draw_text_fast_path_text_shadow"" ""1""  // Forces text shadows through a hardware fast-path"
"Kaizu","panorama_enable_secondary_layout_pass","0","False","975","""panorama_enable_secondary_layout_pass"" ""0""     // Skips the secondary CSS layout check (drastically reduces UI calculation time)"
"Kaizu","panorama_hsbc_through_fast_path","1","False","978","""panorama_hsbc_through_fast_path"" ""1""           // Forces UI hue/saturation/brightness changes through a fast-path"
"Kaizu","panorama_min_comp_layer_cache_cost","256","True","841","//""panorama_min_comp_layer_cache_cost"" ""256"""
"Kaizu","panorama_script_cache_enabled","1","False","980","""panorama_script_cache_enabled"" ""1""             // Aggressively caches UI Javascript to prevent mid-game recompilation"
"TestCfg","panorama_skip_compo","true","True","965","//panorama_skip_compo true"
"Kaizu","panorama_use_backbuffer_directly","1","False","979","""panorama_use_backbuffer_directly"" ""1""          // Skips copying the UI buffer to memory and writes directly to the backbuffer"
"Sqooky","panorama_worldpanel_update_culling","true","True","844","//panorama_worldpanel_update_culling              ""true""        // Messes with health bar rendering. it is weird.   [def: ""false""]"
"SqookyBase","panorama_worldpanel_update_culling","true","True","331","//panorama_worldpanel_update_culling              ""true""        // Messes with health bar rendering. it is weird.   [def: ""false""]"
"TestCfg","panorama_worldpanel_update_culling","true","True","869","//panorama_worldpanel_update_culling              ""true""        // Messes with health bar rendering. it is weird.   [def: ""false""]"
"Sqooky","parallel_perform_invalidate_physics","true","False","777","parallel_perform_invalidate_physics         ""true""          // Not sure                                                         [def: ""false""]"
"SqookyBase","parallel_perform_invalidate_physics","true","False","264","parallel_perform_invalidate_physics         ""true""          // Not sure                                                         [def: ""false""]"
"TestCfg","parallel_perform_invalidate_physics","true","False","799","parallel_perform_invalidate_physics         ""true""          // Not sure                                                         [def: ""false""]"
"Boot","Particle","systems","True","632","// Particle systems larger than this in every dimension skip culling to save CPU.  They will be drawn anyway"
"Sqooky","Particle","systems","True","622","// Particle systems larger than this in every dimension skip culling to save CPU.  They will be drawn anyway"
"SqookyBase","Particle","systems","True","109","// Particle systems larger than this in every dimension skip culling to save CPU.  They will be drawn anyway"
"TestCfg","Particle","systems","True","644","// Particle systems larger than this in every dimension skip culling to save CPU.  They will be drawn anyway"
"TestCfg","ParticleBufferSize","256","False","466","ParticleBufferSize                              ""256"""
"TestCfg","PerVertexLighting","0","False","563","PerVertexLighting                       ""0"""
"Sqooky","phys_batch_ray_test","16","False","848","phys_batch_ray_test                             ""16"""
"SqookyBase","phys_batch_ray_test","16","False","335","phys_batch_ray_test                             ""16"""
"TestCfg","phys_batch_ray_test","16","False","873","phys_batch_ray_test                             ""16"""
"Kaizu","phys_continuous_kinematic_update","0","False","942","""phys_continuous_kinematic_update"" ""0"""
"Sqooky","PointLightShadowsEnabled","1","False","487","PointLightShadowsEnabled                        ""1"""
"TestCfg","PointLightShadowsEnabled","1","False","509","PointLightShadowsEnabled                        ""1"""
"Sqooky","r_citadel_gpu_culling","true","False","851","r_citadel_gpu_culling                           ""true"""
"SqookyBase","r_citadel_gpu_culling","true","False","338","r_citadel_gpu_culling                           ""true"""
"TestCfg","r_citadel_gpu_culling","true","False","876","r_citadel_gpu_culling                           ""true"""
"Kaizu","r_citadel_gpu_culling_two_pass","0","False","918","r_citadel_gpu_culling_two_pass ""0"""
"Sqooky","r_citadel_gpu_culling_two_pass","true","False","853","r_citadel_gpu_culling_two_pass                  ""true"""
"SqookyBase","r_citadel_gpu_culling_two_pass","true","False","340","r_citadel_gpu_culling_two_pass                  ""true"""
"TestCfg","r_citadel_gpu_culling_two_pass","true","False","878","r_citadel_gpu_culling_two_pass                  ""true"""
"TestCfg","r_extra_render_frames","1","True","855","//r_extra_render_frames                     ""1""             // Setting this to anything above 0 causes issues with latency. negative values cause the game to crash. [def: ""0""]"
"Kaizu","r_flashlightambient","0","False","958","""r_flashlightambient"" ""0""            // Disables ambient lighting math on flashlights/muzzle flashes"
"Kaizu","r_flashlightconstant","0","False","959","""r_flashlightconstant"" ""0""           // Disables constant lighting math"
"Kaizu","r_flush_on_pooled_ib_resize","false","False","922","r_flush_on_pooled_ib_resize ""false"""
"Kaizu","r_indirectlighting","false","True","851","//""r_indirectlighting"" ""false"""
"Sqooky","r_particle_timescale","1.1","False","750","r_particle_timescale                        ""1.1""           // Speeds up particle simulation, thus making them end sooner, however this causes visual desyncs, most notably with big effects that last a while such as infernus ult. Please tweak this to what you are comfortable with. [def: ""1""]"
"SqookyBase","r_particle_timescale","1.1","False","237","r_particle_timescale                        ""1.1""           // Speeds up particle simulation, thus making them end sooner, however this causes visual desyncs, most notably with big effects that last a while such as infernus ult. Please tweak this to what you are comfortable with. [def: ""1""]"
"TestCfg","r_particle_timescale","1.1","False","772","r_particle_timescale                        ""1.1""           // Speeds up particle simulation, thus making them end sooner, however this causes visual desyncs, most notably with big effects that last a while such as infernus ult. Please tweak this to what you are comfortable with. [def: ""1""]"
"Sqooky","r_pipeline_stats_flush_before_sleeping","true","True","828","//r_pipeline_stats_flush_before_sleeping true"
"SqookyBase","r_pipeline_stats_flush_before_sleeping","true","True","315","//r_pipeline_stats_flush_before_sleeping true"
"TestCfg","r_pipeline_stats_flush_before_sleeping","true","True","850","//r_pipeline_stats_flush_before_sleeping true"
"TestCfg","r_skip_precache_validation_check","true","True","960","//r_skip_precache_validation_check true"
"Kaizu","r_texture_nonstreaming_load","1","False","850","""r_texture_nonstreaming_load"" ""1"""
"TestCfg","RenderMeshlets","1","True","467","//RenderMeshlets                                  ""1"""
"Sqooky","sc_aggregate_debug_draw_meshlets","-1","False","854","sc_aggregate_debug_draw_meshlets                ""-1"""
"SqookyBase","sc_aggregate_debug_draw_meshlets","-1","False","341","sc_aggregate_debug_draw_meshlets                ""-1"""
"Sqooky","sc_aggregate_debug_draw_meshlets_bounds","true","False","855","sc_aggregate_debug_draw_meshlets_bounds         ""true"""
"SqookyBase","sc_aggregate_debug_draw_meshlets_bounds","true","False","342","sc_aggregate_debug_draw_meshlets_bounds         ""true"""
"Kaizu","sc_aggregate_gpu_culling","true","False","936","""sc_aggregate_gpu_culling"" ""true"""
"Sqooky","sc_aggregate_gpu_culling_conservative_bounds","true","False","856","sc_aggregate_gpu_culling_conservative_bounds    ""true"""
"SqookyBase","sc_aggregate_gpu_culling_conservative_bounds","true","False","344","sc_aggregate_gpu_culling_conservative_bounds    ""true"""
"TestCfg","sc_aggregate_gpu_culling_conservative_bounds","false","False","879","sc_aggregate_gpu_culling_conservative_bounds    ""false"""
"Sqooky","sc_aggregate_gpu_culling_show_culled","true","False","858","sc_aggregate_gpu_culling_show_culled            ""true"""
"SqookyBase","sc_aggregate_gpu_culling_show_culled","true","False","345","sc_aggregate_gpu_culling_show_culled            ""true"""
"TestCfg","sc_aggregate_gpu_culling_show_culled","true","False","880","sc_aggregate_gpu_culling_show_culled            ""true"""
"Kaizu","sc_aggregate_gpu_occlusion_culling","1","False","965","""sc_aggregate_gpu_occlusion_culling"" ""1"""
"Kaizu","sc_aggregate_gpu_vis_culling","1","False","966","""sc_aggregate_gpu_vis_culling"" ""1"""
"Sqooky","sc_aggregate_render_mesh_shader","false","False","859","sc_aggregate_render_mesh_shader                 ""false"""
"SqookyBase","sc_aggregate_render_mesh_shader","false","False","346","sc_aggregate_render_mesh_shader                 ""false"""
"TestCfg","sc_aggregate_render_mesh_shader","false","False","881","sc_aggregate_render_mesh_shader                 ""false"""
"Sqooky","sc_aggregate_show_outside_vis","true","True","845","//sc_aggregate_show_outside_vis                   ""true""        //this makes the entire map stop rendering          [def: ""false""]"
"SqookyBase","sc_aggregate_show_outside_vis","true","True","332","//sc_aggregate_show_outside_vis                   ""true""        //this makes the entire map stop rendering          [def: ""false""]"
"TestCfg","sc_aggregate_show_outside_vis","true","True","870","//sc_aggregate_show_outside_vis                   ""true""        //this makes the entire map stop rendering          [def: ""false""]"
"Kaizu","sc_allow_dynamic_constant_batching","1","False","953","""sc_allow_dynamic_constant_batching"" ""1"""
"Kaizu","sc_allow_precomputed_vismembers","1","False","961","""sc_allow_precomputed_vismembers"" ""1"""
"Kaizu","sc_barnlight_enable_precomputed_vis","1","False","962","""sc_barnlight_enable_precomputed_vis"" ""1"""
"Kaizu","sc_disable_culling_boxes","1","False","955","""sc_disable_culling_boxes"" ""1""       // Skips calculating bounding boxes for culling"
"Kaizu","sc_disable_procedural_layer_rendering","true","True","937","//""sc_disable_procedural_layer_rendering"" ""true"""
"TestCfg","sc_disable_procedural_layer_rendering","false","True","864","//sc_disable_procedural_layer_rendering     ""false""         // Disables rendering, ie the screen is black. [def: ""false""]"
"Kaizu","sc_disable_world_materials","1","True","956","//""sc_disable_world_materials"" ""1""     // Turns the entire map gray (strips all materials from the world)"
"Kaizu","sc_force_single_display_list_per_layer","1","False","964","""sc_force_single_display_list_per_layer"" ""1"""
"Kaizu","sc_instanced_mesh_gpu_culling","true","False","935","""sc_instanced_mesh_gpu_culling"" ""true"""
"TestCfg","sc_skip_traversal","true","True","866","//sc_skip_traversal true"
"TestCfg","sc_throw_away_all_layers","true","True","865","//sc_throw_away_all_layers true"
"TestCfg","SinglePlayerAsyncRendering","1","False","206","SinglePlayerAsyncRendering                      ""1""         // In the dll, no idea what it does"
"Boot","skeleton_instance_lod_optimization","1","True","739","// skeleton_instance_lod_optimization        ""1""             // Enables skeleton/animation LOD optimizations (less bone work for distant models). [def: ""0""]"
"Kaizu","skeleton_instance_lod_optimization","1","False","594","""skeleton_instance_lod_optimization"" ""1"""
"Sqooky","skeleton_instance_lod_optimization","false","False","768","skeleton_instance_lod_optimization          ""false""         // Compute LOD mask internally like since 2016, i.e. force all LOD groups' bones to compute [def: ""false""]"
"SqookyBase","skeleton_instance_lod_optimization","false","False","255","skeleton_instance_lod_optimization          ""false""         // Compute LOD mask internally like since 2016, i.e. force all LOD groups' bones to compute [def: ""false""]"
"TestCfg","skeleton_instance_lod_optimization","false","False","790","skeleton_instance_lod_optimization          ""false""         // Compute LOD mask internally like since 2016, i.e. force all LOD groups' bones to compute [def: ""false""]"
"Kaizu","snd_disable_mixer_duck","1","False","944","""snd_disable_mixer_duck"" ""1"""
"Sqooky","snd_occlusion_rays","0","False","801","snd_occlusion_rays                          ""0""             // Occlusion bounces, this effectively disables them.               [def: ""4""]"
"SqookyBase","snd_occlusion_rays","0","False","288","snd_occlusion_rays                          ""0""             // Occlusion bounces, this effectively disables them.               [def: ""4""]"
"TestCfg","snd_occlusion_rays","0","False","823","snd_occlusion_rays                          ""0""             // Occlusion bounces, this effectively disables them.               [def: ""4""]"
"Kaizu","snd_soundmixer_version","1","True","920","//snd_soundmixer_version ""1"""
"Sqooky","snd_soundmixer_version","1","False","802","snd_soundmixer_version                      ""1""             // [def: ""2""]"
"SqookyBase","snd_soundmixer_version","1","False","289","snd_soundmixer_version                      ""1""             // [def: ""2""]"
"TestCfg","snd_soundmixer_version","1","False","824","snd_soundmixer_version                      ""1""             // [def: ""2""]"
"Sqooky","snd_steamaudio_reverb_order_rendering","0","False","803","snd_steamaudio_reverb_order_rendering       ""0""             // The amount of directional detail in the rendered audio by Steam Audio. [def: ""0""]"
"SqookyBase","snd_steamaudio_reverb_order_rendering","0","False","290","snd_steamaudio_reverb_order_rendering       ""0""             // The amount of directional detail in the rendered audio by Steam Audio. [def: ""0""]"
"TestCfg","snd_steamaudio_reverb_order_rendering","0","False","825","snd_steamaudio_reverb_order_rendering       ""0""             // The amount of directional detail in the rendered audio by Steam Audio. [def: ""0""]"
"Boot","Sound","debugging","True","1083","// Sound debugging"
"Kaizu","Sound","debugging","True","1030","// Sound debugging"
"Sqooky","sound","volume","True","986","// sound volume rate change limiting"
"TestCfg","Sound","debugging","True","1016","// Sound debugging"
"Kaizu","sparseshadowtree_disable_add_layers","1","False","950","""sparseshadowtree_disable_add_layers"" ""1""        // Completely breaks Sparse Shadow Tree layering"
"Sqooky","SparseShadowTrees","1","False","486","SparseShadowTrees                               ""1"" // enable this to experiment with Sparse Shadow Trees as a drop in replacement for static geo shadow rendering into cascades"
"TestCfg","SparseShadowTrees","1","False","508","SparseShadowTrees                               ""1"" // enable this to experiment with Sparse Shadow Trees as a drop in replacement for static geo shadow rendering into cascades"
"Sqooky","SplitDepthStream","1","False","307","SplitDepthStream                            ""1"""
"TestCfg","SplitDepthStream","1","False","324","SplitDepthStream                            ""1"""
"Sqooky","SunLightManagerCount","0","False","453","SunLightManagerCount                            ""0""             // [def: ""0""]"
"TestCfg","SunLightManagerCount","0","False","491","SunLightManagerCount                            ""0""             // [def: ""0""]"
"Sqooky","SunLightManagerCountTools","0","False","454","SunLightManagerCountTools                       ""0""             // [def: ""0""]"
"TestCfg","SunLightManagerCountTools","0","False","492","SunLightManagerCountTools                       ""0""             // [def: ""0""]"
"Sqooky","SunLightMaxCascadeSize","4","False","461","SunLightMaxCascadeSize                          ""4""             // [def: ""4""]"
"TestCfg","SunLightMaxCascadeSize","2","False","493","SunLightMaxCascadeSize                          ""2""             // [def: ""4""]"
"Sqooky","SunLightShadowRenderMode","Depth","False","462","SunLightShadowRenderMode                        ""Depth""         // [def: ""Depth""]"
"TestCfg","SunLightShadowRenderMode","Depth","False","494","SunLightShadowRenderMode                        ""Depth""         // [def: ""Depth""]"
"TestCfg","Thread32First","1","False","274","Thread32First                                   ""1"""
"Sqooky","TransformTextureRowCount","1024","False","459","TransformTextureRowCount                        ""1024""          // [def: ""1024""]"
"TestCfg","TransformTextureRowCount","1024","False","497","TransformTextureRowCount                        ""1024""          // [def: ""1024""]"
"Sqooky","TransformTextureRowCountToolsMode","6144","False","460","TransformTextureRowCountToolsMode               ""6144""          // [def: ""6144""]"
"TestCfg","TransformTextureRowCountToolsMode","6144","False","498","TransformTextureRowCountToolsMode               ""6144""          // [def: ""6144""]"
"Sqooky","TrianglesPerMeshlet","64","False","301","TrianglesPerMeshlet                         ""64""  // Maximum valid value currently is 126"
"TestCfg","TrianglesPerMeshlet","126","False","318","TrianglesPerMeshlet                         ""126""  // Maximum valid value currently is 126"
"Sqooky","UseStaticLightProbes","0","False","349","UseStaticLightProbes                        ""0"""
"TestCfg","UseStaticLightProbes","0","False","366","UseStaticLightProbes                        ""0"""
